incident_id,incident_date,terminal_id,severity,category,description_text,resolution_text,days_to_resolve
INC0001,2025-10-17,T005,high,safety,Crane CB-04 at Maisonneuve Terminal experienced hydraulic failure during container lift operations. Boom arm locked in raised position at 15m height with container suspended. Emergency protocols activated and area cleared within 8 minutes. Hydraulic line replaced after 4-hour shutdown. No injuries reported.,Hydraulic coupling replaced with upgraded fatigue-resistant model. Maintenance interval reduced. All similar cranes inspected.,6
INC0002,2025-10-08,T003,low,safety,Fuel sheen observed on St. Lawrence River surface near Bickerdike Terminal berth 2. Estimated 50L diesel release from vessel during bunkering operations. Containment boom deployed within 12 minutes. Environmental response team collected contaminated water. Transport Canada notified.,Containment and cleanup completed. Bunkering procedures updated to require double-check of fuel line connections. Vessel crew re-trained.,19
INC0003,2025-04-04,T002,high,marine,Unauthorized vehicle attempted to access Viau Terminal through employee gate using expired contractor pass. Security personnel intercepted at checkpoint. Driver identified as former subcontractor terminated 3 months prior. RCMP notified.,Access control system upgraded. All terminated employee credentials now automatically revoked within 24 hours.,10
INC0004,2025-10-19,T004,high,marine,Container handling gantry CG-07 at Cast Terminal reported abnormal vibration levels during night shift. Preventive shutdown initiated per maintenance protocol. Inspection revealed worn bearing in trolley mechanism. Replacement completed during scheduled maintenance window.,Bearing replaced. Vibration monitoring sensors installed on all trolley mechanisms fleet-wide. Predictive maintenance algorithm updated.,11
INC0005,2025-09-03,T003,high,weather,Severe winter storm with 45km/h winds and heavy snow caused port-wide operations shutdown for 18 hours. Three vessels diverted to anchorage in Lac Saint-Pierre. Road access to Maisonneuve Terminal blocked for 6 hours. CN Rail suspended intermodal service.,Post-storm debrief conducted. Emergency preparedness plan updated with earlier trigger thresholds. Snow removal contracts enhanced.,6
INC0006,2025-05-17,T001,medium,security,Near-miss incident: bulk carrier Nordic Express lost steerage in strong current at Pointe-aux-Trembles while approaching Racine Terminal. Vessel drifted within 30m of moored barge. Two harbour tugs assisted vessel recovery.,Pilot procedures updated for strong current conditions. Additional tug escort now mandatory when current exceeds 4 knots.,11
INC0007,2025-05-21,T003,low,equipment,Worker injury at Maisonneuve Terminal. Longshoreman sustained ankle fracture when container lashing equipment shifted during securing operations. Worker was wearing proper PPE. First aid administered on-site. CNESST investigation initiated.,Equipment securing procedures reviewed. Additional training provided on dynamic load awareness. Modified lashing tool design implemented.,4
INC0008,2025-11-16,T002,low,security,Chemical spill in container yard at Cast Terminal. Leaking drum of industrial solvent discovered during routine inspection. Hazmat team deployed. 20L estimated release onto concrete pad. Area quarantined and cleanup completed in 3 hours.,Container inspection frequency increased for chemical cargo. New damage detection protocol at origin port required.,24
INC0009,2025-07-25,T001,low,marine,Vessel CMA CGM St-Laurent reported engine room fire alarm while at berth in Viau Terminal. Terminal emergency response activated. Ship crew extinguished small electrical fire within 5 minutes. Montreal Fire Department attended. No injuries.,Electrical system rewired. Fire suppression system upgraded. Vessel cleared after classification society inspection.,14
INC0010,2025-04-24,T003,medium,equipment,Security breach: drone observed flying over Maisonneuve Terminal container storage area at 0300h. Duration approximately 15 minutes. Security cameras captured footage but operator not identified. Transport Canada Aviation Security notified.,Counter-drone detection system procurement initiated. Security patrol frequency increased during night hours.,21
