vessel_id,vessel_name,imo_number,shipping_line,vessel_type,max_teu,flag_state,year_built
V001,MSC Fleuve,9100000,MSC,container,2500,Singapore,2013
V002,CMA CGM St-Laurent,9101111,CMA CGM,container,3500,Liberia,2008
V003,Maersk Quebec,9102222,Maersk,tanker,2500,Bahamas,2018
V004,COSCO Montreal,9103333,COSCO,container,2500,Panama,2011
V005,Hapag-Lloyd Laurentien,9104444,Hapag-Lloyd,container,6500,Bahamas,2005
V006,ONE Champlain,9105555,ONE,tanker,3500,Singapore,2022
V007,Evergreen Cartier,9106666,Evergreen,bulk_carrier,3500,Canada,2013
V008,ZIM Atlantic,9107777,ZIM,container,3500,Singapore,2018
V009,Yang Ming Fleuve,9108888,Yang Ming,container,4500,Liberia,2011
V010,PIL Seaway,9109999,PIL,container,2500,Panama,2017
V011,HMM St-Lawrence,9111110,HMM,container,4500,Marshall Islands,2013
V012,Wan Hai Quebec,9112221,Wan Hai,container,8000,Canada,2022
V013,OOCL Montreal,9113332,OOCL,container,5500,Panama,2022
V014,Matson Laurentia,9114443,Matson,container,8000,Bahamas,2016
V015,Crowley Borealis,9115554,Crowley,tanker,3500,Singapore,2007
V016,Atlantic Star,9116665,CSL,container,8000,Liberia,2014
V017,Nordic Express,9117776,Fednav,container,3500,Panama,2017
V018,Great Lakes Voyager,9118887,Desgagnes,container,5500,Singapore,2016
V019,Seaway Champion,9119998,Canada Steamship,container,4500,Marshall Islands,2011
V020,Port Royal,9121109,Algoma,container,8000,Singapore,2007
