invoice_id,manifest_id,shipper_name,consignee_name,consignee_city,commodity_hs_code,commodity_description,quantity,unit_price_cad,total_value_cad,currency_original,exchange_rate,payment_terms,invoice_date
INV00001,M0168,Global Commodities Ltd,St-Laurent Logistics,Montreal,6090.49,Industrial pumps,5955,128.94,767837.7,EUR,1.6933,NET30,2025-01-07
INV00002,M0123,Nordic Shipping AB,Ontario Imports Corp,Laval,1111.99,Office furniture,1326,70.69,93734.94,EUR,1.8929,LC_AT_SIGHT,2025-12-05
INV00003,M0123,Atlantic Exports BV,Eastern Canada Imports Ltd,Toronto,5057.48,Cotton textiles,1210,118.33,143179.3,EUR,1.7641,NET60,2025-11-22
INV00004,M0037,Rhine Trading GmbH,Atlantic Commerce Group,Ottawa,6654.37,Cotton textiles,1170,267.6,313092.0,EUR,1.6696,LC_AT_SIGHT,2025-04-03
INV00005,M0026,Channel Freight UK,Great Northern Distribution,Trois-Rivieres,6450.27,Industrial pumps,2343,377.46,884388.78,USD,1.6868,NET60,2025-09-20
INV00006,M0154,Rhine Trading GmbH,Canadian Wholesale Group,Quebec City,7687.75,Industrial pumps,4718,390.59,1842803.62,EUR,1.4773,NET30,2025-04-16
INV00007,M0099,Channel Freight UK,Eastern Canada Imports Ltd,Longueuil,1156.50,Cotton textiles,1897,124.34,235872.98,EUR,1.8165,CAD,2025-07-12
INV00008,M0140,Atlantic Exports BV,Distribution Quebec Inc.,Hamilton,1811.43,Industrial pumps,2880,382.55,1101744.0,EUR,1.8535,LC_AT_SIGHT,2025-09-10
INV00009,M0161,TransEuropa SpA,Great Northern Distribution,Toronto,9178.78,Pharmaceutical ingredients,8259,384.72,3177402.48,GBP,1.4665,NET90,2025-02-17
INV00010,M0053,TransEuropa SpA,Atlantic Commerce Group,Toronto,4999.65,Industrial pumps,2595,270.51,701973.45,EUR,1.4467,LC_AT_SIGHT,2025-02-15
INV00011,M0157,Euro Freight SA,Eastern Canada Imports Ltd,Montreal,2799.11,Cotton textiles,951,158.1,150353.1,EUR,1.8718,CAD,2025-09-26
INV00012,M0185,Euro Freight SA,Canadian Wholesale Group,Toronto,1352.64,Household appliances,4297,87.65,376632.05,EUR,1.3383,CAD,2025-11-03
INV00013,M0128,Rhine Trading GmbH,Les Entrepots du Fleuve,Hamilton,3157.30,Household appliances,7507,257.84,1935604.88,EUR,1.8366,NET30,2025-04-24
INV00014,M0131,Rhine Trading GmbH,Maple Leaf Trading Co,Montreal,7056.59,Cotton textiles,92,26.8,2465.6,GBP,1.8587,NET30,2025-09-26
INV00015,M0183,Nordic Shipping AB,Great Northern Distribution,Trois-Rivieres,4419.83,Office furniture,6920,116.14,803688.8,EUR,1.6012,NET30,2025-03-08
INV00016,M0133,Atlantic Exports BV,Les Entrepots du Fleuve,Sherbrooke,4951.21,Steel coils,802,477.27,382770.54,EUR,1.3048,NET60,2025-05-19
INV00017,M0078,Channel Freight UK,Les Entrepots du Fleuve,Quebec City,7941.29,Electronic components,4024,234.64,944191.36,EUR,1.3143,CAD,2025-06-21
INV00018,M0178,Rhine Trading GmbH,Great Northern Distribution,Sherbrooke,2336.77,Industrial pumps,207,475.74,98478.18,EUR,1.5952,NET30,2025-03-23
INV00019,M0072,Nordic Shipping AB,Ontario Imports Corp,Gatineau,9957.68,Auto parts - brakes,1574,26.73,42073.02,EUR,1.3573,NET60,2025-11-27
INV00020,M0101,Rhine Trading GmbH,Great Northern Distribution,Ottawa,4047.43,Office furniture,1276,297.99,380235.24,EUR,1.7204,NET90,2025-06-15
